EmpID,JobLevel,WorkingHours,PerformanceRating,WorkExperience,Working_years(samecompany),Years_Since_last_Promotion ,SalaryHike%,Overtime,DailyTravellingtime,PaidLeave,SickLeave,PaternityLeaveIndex,MaternityLeaveIndex,EqualPayIndex,WLB Score
773-11-7229,4,9,5,8,16,6,22,2,1,4,7,1,5,2,28.6
859-17-2497,6,9,3,17,29,3,3,0,2,3,3,1,3,3,9.9
494-25-0065,0,10,1,22,8,0,87,0,3,8,1,0,5,0,71.7
337-75-8903,7,11,5,33,12,0,83,3,3,9,6,4,0,1,74.5
594-07-3860,6,9,5,0,22,2,50,4,2,10,12,2,4,5,59.6
555-02-1494,1,12,3,37,40,3,56,3,0,7,4,2,4,4,51.1
727-36-3574,5,9,2,3,2,5,11,1,1,9,3,4,2,0,17.1
134-53-5575,1,10,1,35,5,8,75,3,0,2,0,5,4,2,59
579-63-0045,1,9,0,33,24,16,44,1,3,4,1,3,3,2,28.6
722-78-0913,6,8,3,11,27,10,89,1,3,7,4,2,5,0,77
420-29-1948,0,11,4,34,9,16,13,2,0,10,12,1,5,3,21
141-48-5122,6,11,5,22,21,19,91,4,3,1,12,0,3,1,69.4
794-86-7247,0,10,3,28,38,13,48,4,0,8,0,3,1,4,37.5
775-38-3670,6,12,2,22,35,9,54,1,3,3,7,2,0,0,39.5
377-78-1917,2,8,3,6,15,6,16,4,1,3,8,3,1,2,19.5
749-20-7280,4,9,0,40,24,7,68,4,3,1,8,1,0,4,52.1
519-08-6667,5,9,0,12,11,7,31,3,3,5,10,1,5,1,28.8
593-45-4394,6,10,4,12,5,14,8,3,2,9,6,5,5,3,14.2
800-30-0204,1,8,5,32,39,0,65,3,1,6,9,0,3,5,68.6
603-90-5815,0,10,4,4,18,10,52,1,2,5,0,0,2,2,39.1
887-29-8128,7,11,2,41,31,12,46,4,2,11,2,2,4,5,38.3
318-62-6604,1,12,5,35,42,1,94,1,2,8,12,5,1,5,91.4
753-72-1954,0,11,0,17,2,2,65,2,2,4,10,4,0,2,55.5
605-76-9919,1,11,4,8,3,12,37,0,0,12,2,1,3,3,36.7
768-92-8424,7,9,4,28,9,8,95,2,2,10,3,2,2,0,82.2
630-38-4410,7,10,4,15,42,2,94,2,2,3,3,3,2,5,82.8
416-14-6393,1,10,1,13,36,9,63,3,0,3,0,5,1,0,46.3
667-64-4755,4,10,3,28,1,12,60,4,3,0,1,0,3,0,36.9
536-87-3633,1,9,1,25,23,12,80,0,3,5,7,5,0,0,64.9
547-20-6065,7,8,5,12,24,6,35,1,2,1,5,4,3,2,38.2
529-98-7186,7,12,3,41,7,19,93,4,1,12,12,5,5,4,83.7
779-25-4836,6,11,1,6,17,16,41,1,1,9,6,1,2,4,35.3
256-07-6432,1,8,2,24,39,15,87,4,1,5,11,1,1,0,71.5
158-26-8724,5,11,3,38,27,8,38,4,0,12,8,5,2,5,43.3
787-51-1316,1,12,2,22,28,13,72,2,0,1,10,5,1,4,60.2
642-25-7754,3,8,5,17,4,0,48,3,2,2,5,5,1,5,50.3
755-60-9788,7,8,2,30,7,4,52,3,0,4,6,4,1,4,53.4
631-06-6493,7,8,3,35,4,3,9,1,0,10,8,1,4,0,25.1
828-17-0672,2,10,3,4,32,20,20,2,0,8,3,4,2,3,17.3
202-27-1756,2,8,2,33,4,9,44,3,2,6,8,2,1,4,41.6
723-13-6437,4,11,0,11,27,3,33,2,1,4,3,5,0,3,27.8
217-33-4098,5,12,0,36,25,0,35,0,3,9,4,3,3,5,34.7
630-68-6446,4,12,2,26,27,3,47,0,2,6,12,2,4,0,47.1
481-90-0850,5,12,1,22,9,0,7,4,3,12,3,0,5,1,6.5
858-33-7960,0,12,4,30,2,9,98,1,2,12,7,3,0,3,84.5
192-50-3199,7,10,5,3,38,10,92,4,1,2,10,1,4,5,82.5
324-90-4078,7,9,3,21,0,4,97,4,0,1,9,2,3,3,87.7
494-47-8475,3,9,5,2,32,0,24,0,3,1,12,0,0,5,32.8
251-65-4992,4,8,4,41,12,3,25,0,0,3,4,1,1,3,32
787-86-7382,6,11,5,1,23,2,86,2,0,3,6,4,5,0,79.9
580-46-3530,5,11,0,39,12,15,84,0,1,12,3,2,4,5,71.9
751-70-3991,2,10,5,41,42,13,37,0,3,9,8,3,3,4,39.4
717-88-3084,5,12,5,29,39,0,10,1,1,0,11,1,5,3,20.4
211-99-2561,5,10,3,30,9,11,70,1,3,9,8,2,2,4,63.4
895-09-7414,4,10,1,32,22,14,85,2,3,2,11,2,1,1,66
325-53-1251,0,8,0,36,20,1,28,0,1,8,11,5,2,3,40.3
373-52-5906,0,12,1,9,8,18,40,1,2,1,6,2,3,1,23
383-17-9722,4,10,5,10,33,7,67,1,1,1,6,0,2,1,58
110-28-0674,1,10,3,10,22,15,58,3,3,5,8,3,4,1,45.7
193-56-3595,2,11,5,34,18,2,11,0,0,2,1,5,4,1,17
506-70-6802,1,8,2,16,20,6,88,4,0,4,10,2,0,0,76.9
190-27-5331,0,10,1,9,40,4,63,0,3,5,7,0,4,5,56.4
151-96-7538,5,12,0,12,38,18,94,1,1,5,0,3,1,0,64.5
467-38-1171,7,12,2,35,37,13,77,1,2,5,9,5,0,1,63
203-33-9753,2,9,5,5,11,9,57,4,1,2,10,3,5,3,55.4
185-39-8015,0,11,0,28,11,8,58,4,2,0,12,2,0,3,43.4
313-08-9678,5,9,1,26,37,0,88,0,2,1,1,0,2,3,73.1
602-11-7100,2,12,1,13,11,14,53,1,1,2,3,1,1,0,33.2
453-82-0553,7,8,0,20,42,19,62,0,2,9,5,4,3,2,54.2
843-08-7046,5,9,1,15,37,4,65,4,0,12,5,1,0,0,58.4
150-21-3930,5,9,2,12,10,10,51,1,1,2,2,1,5,3,43.7
781-91-5379,7,11,5,18,38,15,86,4,2,7,5,1,2,1,67.2
606-17-5760,5,9,4,6,0,3,85,3,0,12,12,1,3,3,88.5
135-71-4371,6,9,3,6,17,3,18,1,1,4,1,0,4,5,22.7
888-51-6281,1,11,4,4,3,14,21,0,0,3,9,2,1,4,23.2
273-12-4359,1,11,5,16,12,18,87,1,1,12,8,2,0,2,75
202-56-1568,7,12,1,8,16,7,9,3,2,12,1,2,5,5,10.2
548-40-3319,7,9,5,4,28,5,3,3,3,2,4,2,1,1,4.6
424-85-6288,7,11,1,29,4,0,8,1,2,4,10,5,5,2,18.7
823-16-8935,3,12,5,22,0,14,73,0,1,8,10,5,4,3,70.1
391-65-1832,4,12,1,1,3,8,42,1,0,7,12,4,0,0,40.9
743-45-9060,6,12,1,6,25,1,26,4,0,7,2,2,3,3,23.6
530-29-7473,6,10,2,24,6,5,86,2,2,9,6,3,1,5,78
592-83-5922,5,9,5,0,6,10,57,4,0,12,1,0,2,4,53.2
513-31-9742,5,11,2,20,7,11,7,0,1,3,5,3,3,1,7.7
844-71-4538,5,9,0,36,16,12,26,0,0,9,10,3,2,3,33.3
268-50-0737,7,11,4,2,5,0,17,1,2,6,0,2,4,3,20.4
601-64-0800,2,11,3,32,38,1,34,1,0,4,6,5,0,1,35.6
472-04-3327,2,10,1,37,25,13,16,4,1,2,7,5,5,3,13.9
404-49-8509,4,9,0,36,21,9,87,3,3,8,8,3,5,3,75.1
129-13-2000,4,10,5,19,32,17,74,1,0,10,1,2,2,1,62.7
431-81-7853,7,10,5,41,31,3,70,4,2,9,9,0,0,4,66.6
492-44-7332,1,11,1,30,31,7,4,0,3,12,0,4,1,2,3.6
873-58-9689,5,8,1,20,19,9,40,4,2,3,0,3,4,4,31.4
152-89-1103,0,10,2,21,12,14,3,1,1,6,1,4,3,1,1.1
615-80-7068,4,8,5,10,6,11,22,4,2,0,5,5,4,3,22.4
899-82-0144,4,8,2,24,31,13,44,3,1,0,9,2,1,1,36.8
470-53-0897,2,12,3,11,18,4,92,3,3,2,7,0,3,4,72.8
595-17-2729,4,10,5,34,19,14,99,0,3,10,1,5,3,2,83.9
811-30-9692,1,12,1,5,10,4,32,4,1,12,4,2,1,2,26.6
554-61-1993,2,10,3,38,42,20,9,1,2,2,11,3,1,2,7.5
209-82-9382,3,10,1,15,16,2,10,3,2,12,7,5,3,4,20
665-63-5935,4,10,4,39,19,16,29,3,0,7,8,3,2,5,31.2
837-47-2160,3,12,3,35,13,18,5,4,2,5,1,3,0,0,-8.9
641-24-3292,3,10,0,16,25,11,13,2,2,2,9,5,3,5,14.3
183-63-5022,3,9,4,16,33,0,86,3,0,9,10,5,1,0,85.9
761-56-6331,7,12,0,10,3,14,4,3,3,12,7,5,0,4,3.1
645-08-6914,4,9,0,22,33,13,48,3,2,8,11,4,3,1,43.8
545-07-0885,6,8,3,31,23,20,49,0,2,5,0,2,5,3,40.3
124-97-7216,2,8,1,29,35,12,61,3,2,9,11,2,0,2,54.9
389-63-9822,2,9,5,22,12,5,46,1,0,8,0,2,2,1,45.2
332-16-2019,1,9,4,5,16,20,35,1,0,6,9,1,2,5,35.8
106-82-9003,5,12,3,41,21,2,22,0,1,9,5,3,1,5,28.9
836-29-0100,2,8,1,2,21,3,75,4,3,7,12,5,1,3,70.7
443-29-8463,2,8,1,38,39,5,22,1,0,4,8,3,4,4,31.4
442-63-2299,3,12,1,27,31,14,87,3,0,0,10,5,2,0,67.4
324-75-8283,4,11,5,37,27,0,88,1,0,0,9,3,3,5,85.3
881-85-3665,4,12,5,22,32,5,57,2,1,2,3,4,3,3,49.5
244-14-8288,3,10,2,8,20,4,71,4,1,1,0,4,1,2,53.8
299-75-4444,7,12,3,18,20,15,79,0,0,9,5,3,5,4,71.8
253-91-2039,1,8,5,28,42,8,53,0,1,9,3,3,5,0,54.8
321-13-3127,7,11,1,41,21,15,82,4,0,6,5,4,0,3,64.4
217-32-6079,1,8,5,6,17,5,6,3,3,4,8,0,1,4,12
830-44-4101,3,8,0,28,12,3,83,1,1,2,4,4,4,4,75.2
543-29-5998,3,8,2,10,23,12,96,0,1,12,1,2,2,2,84
524-28-4003,1,8,3,11,6,1,50,0,0,0,4,2,4,3,51.7
182-87-0920,6,12,3,11,16,8,80,3,2,0,12,0,5,3,67.2
834-68-3191,1,12,3,15,17,0,85,2,3,1,2,3,0,3,64.7
711-68-8981,6,9,0,28,38,16,35,2,0,4,5,3,3,4,30.9
502-49-3276,3,9,3,3,15,0,29,3,0,3,3,0,1,2,28.5
270-76-4825,1,8,1,34,4,15,73,1,1,2,9,3,1,5,63.9
113-96-4627,6,9,1,40,20,1,67,3,0,6,6,2,1,0,61.3
614-07-9913,4,10,2,3,6,5,40,2,3,7,12,5,0,0,39.8
273-89-0030,7,8,2,8,0,12,45,3,1,4,0,2,0,3,35
258-03-4759,7,8,3,28,20,9,51,2,0,10,6,5,3,1,55.5
555-74-5914,6,8,4,38,31,13,39,4,2,1,6,1,3,4,33.7
769-09-6746,2,8,0,42,33,16,100,4,3,9,11,5,1,1,82.2
873-64-6629,2,10,3,41,31,20,21,3,3,10,10,2,0,1,15.5
576-60-0141,7,8,3,39,21,4,79,1,3,4,7,4,4,0,73.5
849-55-1000,2,9,4,9,21,7,7,3,3,12,3,2,0,3,10.3
529-60-9983,0,11,5,24,9,11,6,4,0,2,11,0,4,0,7.8
714-44-0636,7,9,4,26,37,1,30,2,3,7,2,0,4,3,31.7
195-87-7803,2,11,5,34,31,2,72,0,0,2,2,3,5,5,68.8
827-70-4178,0,10,5,9,39,20,37,4,1,8,3,5,2,2,28.5
277-82-0955,1,11,2,13,27,17,19,4,3,4,5,0,2,5,6.7
504-10-3149,5,8,2,32,12,13,39,4,0,12,11,2,2,3,44.3
258-11-3668,4,12,1,33,41,11,76,1,3,2,9,2,3,4,60.1
605-26-9572,7,9,0,3,34,11,59,3,3,8,6,1,5,0,47.7
540-46-8694,3,9,3,28,42,6,10,0,3,10,11,0,2,2,20.3
520-42-1963,1,11,1,21,27,2,56,2,2,5,6,0,2,3,46.5
750-12-2770,0,9,0,10,15,4,57,4,3,12,10,3,0,2,51.6
623-84-4932,3,10,1,32,26,10,2,1,0,6,7,0,3,0,5.4
830-36-0615,3,11,3,17,29,12,39,0,2,8,5,1,1,5,35.1
889-31-2206,6,8,0,30,12,12,91,4,3,1,7,3,2,0,68.9
545-07-6926,7,8,5,12,12,15,34,1,0,6,9,3,3,0,40.1
177-03-6051,5,10,0,39,29,2,28,0,0,2,1,2,2,4,27.1
123-07-3061,6,8,4,37,3,10,81,2,1,8,1,2,3,0,70.5
199-32-9596,2,11,4,10,18,14,69,3,1,9,8,3,2,0,58.3
537-81-3844,2,9,3,39,42,2,66,3,0,10,5,0,3,4,65.2
701-09-8034,3,10,5,18,29,2,24,0,1,1,9,2,0,2,30
805-86-4981,2,9,1,12,12,14,35,4,3,11,1,5,1,2,24.6
164-62-0864,5,9,2,27,24,16,15,0,3,12,8,5,0,5,21.6
555-49-0367,2,12,1,11,28,17,55,2,0,2,3,0,2,4,36.5
447-77-7417,6,8,5,13,21,13,76,2,2,5,4,0,5,4,67.9
865-73-1884,1,11,5,2,24,17,85,3,1,7,2,3,1,5,67.2
873-69-7312,1,9,5,28,5,12,22,4,0,5,5,4,1,5,24.5
851-06-8816,1,12,3,11,3,11,88,1,0,11,6,3,4,4,79.5
496-88-1873,4,10,1,41,35,9,54,0,1,9,1,4,5,2,49.4
533-14-0286,5,9,0,16,22,5,100,2,0,11,7,5,2,3,93.8
867-93-4453,0,8,2,23,34,5,35,2,3,1,9,4,3,4,35.6
594-93-7129,0,11,5,8,42,12,83,3,0,7,4,2,3,0,68
132-89-5737,5,11,0,21,15,18,40,0,1,11,1,0,1,4,29.3
764-65-2236,2,10,2,21,12,4,83,3,3,12,2,2,2,3,69.5
452-51-7540,0,8,4,30,7,5,61,0,3,11,6,3,1,3,61.7
103-87-6019,5,12,5,24,12,4,15,0,0,6,0,4,2,1,18.4
521-75-8902,2,8,4,11,29,16,21,2,3,12,6,2,0,3,22
538-62-1223,3,10,4,42,32,19,3,0,2,1,10,4,3,3,6.7
578-99-0034,2,10,1,20,25,12,78,1,0,10,10,3,0,1,70.4
824-03-2298,0,10,4,0,17,4,45,3,2,4,3,5,5,2,40.9
118-87-2614,4,10,5,42,15,4,55,2,2,8,12,0,5,5,60.9
622-60-8770,2,10,3,30,23,8,28,3,0,6,11,4,2,4,34.5
578-76-7162,3,10,0,26,25,20,43,0,1,1,4,1,2,0,26.4
270-28-7512,3,9,4,0,38,0,42,0,2,5,3,3,2,5,45.9
785-31-9335,7,12,5,10,39,8,15,4,1,2,7,4,2,5,17.1
476-55-7289,1,11,3,28,22,8,22,2,0,0,10,0,4,2,22
877-61-8759,5,9,2,30,23,0,17,3,3,2,1,3,0,2,13
504-93-7588,5,9,0,32,25,7,50,0,2,2,1,5,4,4,43.7
437-69-7457,0,10,0,23,25,5,37,0,0,9,2,4,5,3,38.6
438-51-1619,5,9,3,27,21,20,10,2,2,6,6,5,0,1,7.9
370-82-6833,2,9,0,42,26,6,33,1,1,5,0,0,2,2,25.5
151-57-6392,4,11,0,9,17,8,38,1,1,6,6,5,3,5,37.2
770-79-7988,2,11,0,33,28,6,45,2,2,4,12,0,4,5,41.8
693-64-7636,0,11,0,19,7,7,8,0,1,3,8,4,3,1,10
312-04-3741,5,10,4,40,3,12,93,4,1,6,6,3,1,2,77.2
527-71-0137,0,11,4,27,1,20,68,3,0,11,7,0,4,1,55.9
347-85-4527,1,12,5,14,14,11,60,4,0,2,1,3,2,0,42.4
515-36-4152,6,10,3,15,5,14,64,2,1,0,5,4,2,1,50.6
447-73-5967,3,10,3,41,30,19,89,1,0,0,7,4,3,5,74.8
226-59-8851,3,11,0,32,12,17,92,0,0,6,8,2,2,4,76.7
739-17-4672,4,8,1,10,16,4,6,2,0,3,9,1,4,2,16.2
712-86-5644,3,8,4,12,21,9,42,2,1,4,9,3,4,3,46.2
205-86-9457,3,8,1,30,10,0,10,3,2,5,7,3,3,0,15.8
116-06-0398,0,9,0,7,24,9,45,3,3,12,2,0,1,2,33
662-22-6978,5,9,0,38,4,10,81,1,1,4,5,2,3,0,66.6
360-16-7951,4,10,4,5,9,8,73,0,3,3,1,4,2,4,61.1
701-07-5591,4,11,1,17,36,11,98,2,0,11,3,3,5,2,83.6
577-26-9575,5,8,4,25,24,20,19,1,3,11,11,5,2,0,24.7
221-09-4531,6,8,3,19,2,8,87,1,3,5,9,3,1,3,79.5
556-38-8051,1,12,0,8,0,14,77,2,1,9,5,1,5,1,58.9
448-12-2809,6,9,4,32,28,11,26,3,1,8,7,1,5,1,29.5
620-01-0297,2,10,1,42,15,2,35,1,2,10,2,3,5,5,37.4
670-91-4349,7,8,1,42,12,11,19,1,1,11,9,1,0,5,28.1
797-77-3099,7,8,1,33,32,6,69,1,1,4,0,3,2,4,60.9
782-45-9981,7,8,2,23,33,10,3,1,0,11,11,1,3,5,21.7
723-38-6457,2,10,5,10,15,13,72,3,0,8,1,0,5,0,59
539-84-4291,4,9,3,38,16,17,90,0,1,0,3,0,5,2,71.5
667-85-6949,4,9,1,35,3,15,54,3,2,12,10,3,0,1,47.8
773-07-7036,7,8,1,41,12,7,60,3,2,8,5,1,3,3,54.6
745-40-3540,6,12,3,15,1,10,97,2,0,12,6,0,0,5,84.7
759-41-8167,5,8,1,1,34,15,7,2,0,6,3,5,5,2,11.8
291-98-8724,1,10,1,33,35,16,0,4,2,1,2,0,4,2,-11.1
183-17-9122,2,10,4,16,16,5,92,3,1,9,4,0,1,5,80.6
237-89-8091,7,12,4,36,30,13,47,4,3,8,8,1,0,4,36.9
711-52-6344,1,11,0,5,11,16,47,1,0,2,6,1,4,0,33.3
589-73-0183,2,12,4,38,29,8,26,0,2,6,9,4,1,3,28.3
438-49-1509,3,9,4,38,9,2,44,3,2,0,2,2,2,0,35.3
306-37-9255,0,9,4,39,27,17,65,0,1,7,10,1,0,4,60.1
494-70-8243,3,11,3,15,6,12,99,2,0,9,2,5,0,0,80.4
197-72-7370,3,11,5,24,20,6,68,3,1,1,2,0,4,2,54
882-90-0870,7,8,0,22,2,6,15,4,0,0,2,2,0,5,13
472-93-9619,5,8,3,29,25,20,15,3,0,5,3,2,4,1,12.9
677-57-0543,3,8,0,27,37,3,96,1,1,3,0,3,1,3,79.9
738-09-9095,6,9,3,39,26,3,33,3,1,3,8,0,4,2,35.4
420-59-1333,7,10,2,30,42,18,80,1,2,6,4,0,1,4,62.2
296-14-4615,2,9,2,42,15,19,46,4,3,1,8,3,2,3,31.6
677-51-6289,0,12,4,9,16,1,18,4,0,11,8,3,3,0,24.1
626-83-7786,2,11,3,42,13,6,22,4,0,0,1,0,0,4,12.9
799-70-1586,7,9,4,4,8,10,57,1,3,0,12,1,1,3,52.5
463-22-7198,2,12,3,16,36,2,59,4,3,9,3,5,3,2,48.9
338-83-0333,5,8,2,8,20,11,30,2,1,11,9,3,5,0,36.9
292-32-2113,3,9,0,34,28,8,89,3,1,1,7,5,0,4,73.8
874-89-7666,1,9,1,8,18,13,74,4,0,10,2,2,3,1,59.4
425-98-1688,3,9,4,40,34,16,20,1,3,7,7,0,3,0,17.4
596-10-0187,0,9,1,7,28,9,63,0,2,11,12,0,5,0,61.6
615-72-8723,7,8,2,24,17,3,63,4,1,4,6,4,4,4,61.9
333-66-0570,3,12,0,24,31,19,66,2,0,3,8,4,4,2,50.4
267-36-1194,7,10,5,40,18,20,97,4,1,12,10,1,5,0,84.6
487-26-4286,1,9,3,40,28,19,16,3,3,12,3,1,4,2,11.3
632-43-0728,2,9,0,32,0,15,15,4,0,0,4,5,5,2,9.8
715-63-8780,0,10,0,18,26,10,22,4,0,4,12,3,1,2,21
412-87-5302,0,11,2,32,14,5,25,2,3,1,3,3,2,3,16.4
618-06-0191,5,9,4,34,17,20,81,2,2,8,4,1,2,4,66.2
712-54-4168,1,11,5,34,14,9,31,3,1,12,4,3,1,5,32.6
483-82-7755,3,12,0,17,33,12,82,0,0,11,1,0,5,1,65.6
484-88-9224,1,9,4,38,11,2,64,3,3,9,9,0,2,5,62.5
621-34-5264,0,12,2,40,21,15,71,3,0,7,10,2,2,4,59.4
158-80-9540,7,10,4,17,32,19,76,3,2,11,10,5,1,2,67.7
749-95-3173,7,8,0,22,5,17,58,4,0,8,3,3,0,5,48.1
410-61-8578,4,9,0,35,0,0,80,4,2,8,2,1,1,1,64.6
784-40-0431,5,10,5,27,1,10,33,2,3,12,4,3,5,2,34.8
140-76-0311,1,9,1,12,41,14,6,0,0,8,11,0,0,5,14.7
667-26-8163,6,10,1,28,27,1,40,4,2,4,7,4,3,0,36.1
615-78-4484,0,11,4,28,9,5,49,0,2,8,9,0,0,3,47.3
430-27-2899,6,10,3,0,21,3,4,0,2,2,5,4,0,0,8.1
755-19-5143,7,12,1,8,12,0,68,4,3,7,5,2,2,0,53.2
356-77-4221,6,12,5,34,14,5,53,3,2,4,0,1,4,1,40.5
112-21-3307,0,10,5,26,31,3,10,1,2,11,11,3,4,4,26.8
715-54-1544,7,11,5,23,42,20,34,0,1,8,3,5,2,1,30.4
275-59-1270,7,9,2,38,23,12,32,4,0,0,9,0,2,4,29
490-21-2853,5,9,3,33,16,10,40,1,0,3,1,0,0,2,32.9
733-67-8569,4,9,0,38,19,20,25,0,1,3,12,1,1,2,22.2
630-40-7221,7,12,3,8,11,12,31,4,3,5,10,3,0,0,21.8
617-43-7561,7,10,1,21,38,5,58,3,2,12,4,5,3,3,55
264-67-3688,5,12,0,26,27,7,83,3,2,10,1,4,4,1,64.4
410-03-9733,4,12,0,39,21,19,67,0,0,11,1,5,3,1,52.2
157-57-7399,5,12,3,39,38,6,44,4,0,1,6,1,3,1,34.8
590-76-4265,4,11,2,2,35,10,61,0,3,10,11,1,5,1,57.1
566-86-3629,3,11,5,29,28,9,73,0,3,12,12,0,5,5,74.1
229-13-1288,7,12,4,39,19,17,15,1,1,0,12,0,3,2,13.8
350-80-4743,6,9,0,37,28,19,28,3,3,9,7,2,1,4,21
159-49-0972,1,9,5,20,11,4,66,3,2,0,10,4,2,4,62.7
171-06-0244,0,12,5,33,6,20,21,3,1,7,3,2,4,0,11.2
127-83-8346,2,12,0,7,38,7,93,4,2,2,12,0,4,3,73.4
168-49-0814,7,9,0,39,5,15,87,4,1,3,1,5,1,5,66.5
381-68-8275,1,12,2,11,18,11,97,3,2,1,4,4,4,3,72.8
757-76-1777,4,12,2,6,36,9,3,1,2,10,2,5,0,5,5.1
586-11-7292,5,11,0,35,35,2,85,2,3,12,8,4,5,0,76.3
777-95-8591,5,11,5,19,42,6,11,1,3,2,12,4,1,1,16.7
415-28-9279,2,12,0,42,31,14,79,2,1,1,0,1,0,1,49
573-56-8778,6,9,2,8,0,17,3,1,2,1,2,3,2,3,-0.6
