EmpID,Country,DOUHC,Life Expectancy,Racial and Ethinic Equality,Happines Index,Pollution Index,GDP Per Capita,Population Density,Regional Quality of Life Score
605-26-9572,China,7,69,62,9,19,9025.85,7,185.7
540-46-8694,South Korea,0,54,70,4,112,783.68,60,95
520-42-1963,China,0,73,62,7,48,7755.39,64,402.2
750-12-2770,Indonesia,3,53,59,9,176,8340.07,79,1585.6
623-84-4932,Guinea,5,77,43,9,97,7130.2,8,747.3
830-36-0615,China,7,83,85,6,94,229.98,60,23.9
889-31-2206,Indonesia,6,57,72,2,183,2205.16,16,436.3
545-07-6926,Ecuador,3,81,34,5,9,2964.6,18,29.1
177-03-6051,Colombia,2,62,61,3,200,9836.27,12,2124.9
123-07-3061,Indonesia,6,57,62,7,11,4584.06,52,54.9
199-32-9596,Indonesia,3,55,50,0,78,2937.26,54,247.7
537-81-3844,Iran,5,77,74,8,9,6603.76,21,64.6
701-09-8034,Sweden,5,53,59,1,94,7298.91,51,741.4
805-86-4981,China,6,68,52,1,125,2242.63,48,303.2
164-62-0864,Russia,7,70,34,8,123,1605.03,80,213.7
555-49-0367,Philippines,0,53,81,2,31,1631.61,20,54.8
447-77-7417,Indonesia,2,61,68,10,104,2889.46,64,324.8
865-73-1884,Micronesia,7,57,74,1,143,7360.31,93,1137.2
873-69-7312,Indonesia,2,65,68,3,33,9198.93,41,328.1
851-06-8816,Peru,3,63,72,8,125,8254.22,97,1114.7
496-88-1873,Ireland,2,64,77,5,126,632.11,33,86.3
533-14-0286,China,2,66,60,6,101,3300.25,86,360.3
867-93-4453,Dominican Republic,0,73,35,6,135,2414.08,48,352.1
594-93-7129,Thailand,6,71,78,0,15,7834.46,27,127.4
132-89-5737,Russia,6,69,45,10,158,981.99,18,168
764-65-2236,Indonesia,5,84,72,2,132,4277.87,14,610.3
452-51-7540,Ukraine,6,83,46,0,54,11224.46,57,655.1
103-87-6019,Pakistan,6,60,43,7,93,922.76,90,93.1
521-75-8902,Nigeria,3,81,46,2,4,5229.06,64,22.9
538-62-1223,China,7,69,78,1,200,5534.15,87,1195.9
578-99-0034,Colombia,0,78,32,4,32,10314.66,70,356.7
824-03-2298,Thailand,7,65,55,7,89,10834.2,74,1041.9
118-87-2614,Ecuador,7,63,52,0,165,1416.56,1,252.9
622-60-8770,Indonesia,6,81,56,0,38,8138.59,92,334.5
578-76-7162,China,0,69,44,4,5,7507.06,7,40.7
270-28-7512,Malta,6,54,80,3,106,3260.04,14,373.6
785-31-9335,Dominican Republic,1,76,61,7,172,4882.17,28,907.1
476-55-7289,Albania,7,54,77,1,45,9880.16,40,480.7
877-61-8759,Montenegro,3,66,43,8,159,9921.05,36,1703.9
504-93-7588,Indonesia,0,57,65,10,48,10117.55,84,524.7
437-69-7457,Philippines,2,68,70,6,75,9471.21,27,767.4
438-51-1619,China,1,72,80,3,169,9286.42,65,1695.2
370-82-6833,Laos,2,72,83,5,9,5175.81,67,50.6
151-57-6392,China,1,78,61,2,38,3307.91,82,136
770-79-7988,Colombia,4,62,42,3,131,7847.65,78,1110.6
693-64-7636,China,2,82,32,10,139,3874.62,50,581.9
312-04-3741,Mongolia,6,57,85,8,166,9380.5,60,1682.2
527-71-0137,Philippines,0,80,54,8,36,9888.58,72,384.7
347-85-4527,Russia,4,75,82,3,36,8995.99,89,350.2
515-36-4152,Russia,0,65,73,0,87,10514.62,19,988.1
447-73-5967,China,7,74,78,9,65,5045.26,28,354.7
226-59-8851,Czech Republic,7,74,43,3,155,5011,16,839.3
739-17-4672,Paraguay,0,60,64,3,43,6258.6,24,290.8
712-86-5644,Wallis and Futuna,1,73,85,5,35,7184.78,19,271.8
205-86-9457,Brazil,0,55,80,10,200,4183.69,94,903.9
116-06-0398,Poland,7,80,73,5,168,8095.59,76,1469.4
662-22-6978,China,3,55,62,9,44,2744.25,30,130.7
360-16-7951,China,4,69,84,8,45,4899.42,52,238.5
701-07-5591,Croatia,6,78,85,4,146,3888.05,34,613.5
577-26-9575,Egypt,0,59,49,8,14,2598.09,93,39.5
221-09-4531,Colombia,2,69,81,6,74,7744.29,100,619.2
556-38-8051,Argentina,6,60,55,9,140,6606.79,51,999.4
448-12-2809,China,4,85,79,6,23,6765.25,85,168.5
620-01-0297,Serbia,5,61,58,3,47,2272.63,39,115.7
670-91-4349,China,1,53,81,2,152,5692.12,56,934.6
797-77-3099,Russia,0,59,35,1,3,8382.78,87,27.3
782-45-9981,Jordan,4,71,36,6,40,6272.89,54,271.3
723-38-6457,Argentina,2,60,69,9,29,7284.73,17,228.4
539-84-4291,Portugal,3,68,53,9,81,6004.25,3,525.5
667-85-6949,Japan,2,80,49,9,94,6405.93,5,650.6
773-07-7036,Portugal,4,58,59,4,192,2008.71,95,416.9
745-40-3540,United States,3,72,80,9,196,9398.42,13,1989.8
759-41-8167,Brazil,6,56,62,6,195,7150.55,29,1506.3
291-98-8724,Morocco,3,53,68,7,4,7448.39,47,32.5
183-17-9122,Poland,0,67,78,2,81,1403.48,78,123
237-89-8091,Indonesia,6,69,31,6,45,7111.7,47,346.1
711-52-6344,Madagascar,0,80,85,0,76,523.86,26,43.2
589-73-0183,Philippines,3,53,57,1,187,3965.09,100,801.1
438-49-1509,China,5,75,71,0,144,4322.38,17,672.6
306-37-9255,Mexico,0,77,41,1,18,1531.81,64,30
494-70-8243,China,3,60,60,10,171,11337.17,90,2094.1
197-72-7370,Russia,0,84,70,2,172,9283.04,80,1724.6
882-90-0870,China,4,56,67,9,172,1225.94,34,228.1
472-93-9619,Uruguay,2,54,57,5,20,10689.76,95,231.2
677-57-0543,China,5,69,82,0,195,3742.19,97,788.6
738-09-9095,Indonesia,7,68,74,4,75,1055.4,66,86
420-59-1333,Philippines,4,53,33,6,141,6795.97,88,1035.2
296-14-4615,Indonesia,0,80,54,8,65,10325.61,35,725
677-51-6289,Czech Republic,1,75,40,6,185,5550.07,69,1109.1
626-83-7786,China,7,74,71,9,162,9888.26,86,1730.6
799-70-1586,Russia,2,71,77,6,2,1516.67,68,3.6
463-22-7198,Thailand,0,54,83,6,143,5529.02,92,854.1
338-83-0333,Iceland,1,65,77,2,78,6971,29,587.5
292-32-2113,China,7,83,44,2,26,10987.35,32,309
874-89-7666,Russia,3,78,44,7,98,4927.21,90,521.8
425-98-1688,China,4,58,41,9,128,1490.47,85,206.4
596-10-0187,United States,2,53,74,7,85,1421.7,93,130.8
615-72-8723,Indonesia,4,67,74,10,189,9558.1,36,1951.4
333-66-0570,Russia,1,77,54,6,103,2688.64,59,299.3
267-36-1194,Czech Republic,5,61,66,3,145,2003.89,9,314.2
487-26-4286,Portugal,6,71,30,6,170,5714.91,5,1049.7
632-43-0728,Russia,1,73,59,0,133,3026.83,87,435
715-63-8780,Czech Republic,7,60,49,10,188,4463.79,97,906.8
412-87-5302,Kazakhstan,4,70,37,7,124,3023.13,7,405.2
618-06-0191,Philippines,3,66,71,3,151,9946.37,98,1622.4
712-54-4168,Thailand,0,66,65,4,42,3480.98,85,158.1
483-82-7755,United States,1,58,85,4,14,9329.27,25,141.3
484-88-9224,Brazil,4,67,77,4,165,1583.63,81,282.6
621-34-5264,Ukraine,4,77,35,2,110,1496.16,71,178.1
158-80-9540,Palau,1,67,52,0,169,2743.73,47,501
749-95-3173,Lesotho,6,59,84,10,81,10392.59,2,909.6
410-61-8578,China,2,63,49,7,53,3917.2,86,224.5
784-40-0431,Netherlands,7,85,82,5,52,3833.1,12,215.8
140-76-0311,Mexico,2,74,83,0,192,8656.92,15,1795.4
667-26-8163,Brazil,6,79,61,2,156,2943.89,49,496.5
615-78-4484,Sweden,3,75,74,3,184,8608.72,37,1711.1
430-27-2899,Sweden,4,76,47,1,39,1255.39,41,53.2
755-19-5143,Czech Republic,2,55,75,9,137,10709.88,83,1584.9
356-77-4221,Indonesia,5,71,54,6,188,10679.68,78,2168.8
112-21-3307,Brazil,6,61,41,8,106,4589.57,92,525.9
715-54-1544,Albania,0,61,51,10,162,9577.2,76,1675.8
275-59-1270,Guatemala,7,59,37,0,118,2915.94,87,372.1
490-21-2853,Thailand,7,73,70,10,146,462.03,10,73.3
733-67-8569,China,0,81,82,9,128,3941.49,41,545.1
630-40-7221,Sweden,6,71,53,2,156,7998.34,38,1348
617-43-7561,Uzbekistan,1,77,55,2,181,3371.73,87,659.4
264-67-3688,Canada,6,75,58,9,20,5662.14,74,122.8
410-03-9733,United States,7,82,60,7,41,9624.23,24,426.7
157-57-7399,Tanzania,6,69,53,10,162,5134.35,24,898.7
590-76-4265,Indonesia,6,75,84,5,127,3182.27,67,437
566-86-3629,Russia,3,56,58,1,128,10436.87,35,1443.1
229-13-1288,China,6,77,33,4,124,10854.55,81,1454.1
350-80-4743,Indonesia,6,71,50,6,98,4664.51,79,494.2
159-49-0972,Russia,4,55,38,9,33,7851.63,43,280.2
171-06-0244,Sweden,2,53,66,0,106,10673.19,52,1222.1
127-83-8346,Peru,1,63,34,9,42,9301.2,49,422.1
168-49-0814,China,4,85,84,7,118,3536.1,66,451.1
381-68-8275,Brazil,7,80,68,9,156,4478.7,92,755.1
757-76-1777,Ukraine,2,79,32,0,180,2444.8,71,475.6
586-11-7292,Netherlands,2,64,70,9,193,9228,69,1923.8
777-95-8591,Ukraine,6,69,57,3,90,6406.87,23,623.2
415-28-9279,China,0,68,52,7,73,905.2,3,71.5
573-56-8778,Swaziland,0,54,64,4,50,1188.9,88,64.4
